	nom	typerestaurant	ville	codepostal	rue	rue2	telephone	mobile	cravings	extras	prix	stationdemetro	Latitude	Longitude
104	Yam’Tcha	Restaurant	Paris	75001	121, rue Saint-Honoré		+33 1 40 26 08 07		Cuisine d'auteur	Antidépresseur,  Fais-moi mal	Plus de 51 €	Louvre - Rivoli	48.86141569999999	2.341659599999957
105	La Bourse et la Vie	Restaurant	Paris	75002	12, rue Vivienne		+33 1 42 60 08 83		Bistrot	Ouvert le lundi,  Antidépresseur	Plus de 51 €	Bourse	48.8676204	2.3395636000000195
106	Clover Green 	Restaurant	Paris	75007	5, rue Perronet		+33 1 75 50 00 05		Cuisine d'auteur,  Néobistrot	Antidépresseur,  Voir et se faire voir,  Fais-moi mal	Plus de 51 €	Saint-Germain des Prés,  Mabillon,  Rue du Bac	48.85517840000001	2.330281600000035
107	Brasserie Thoumieux	Restaurant	Paris	75007	79, rue Saint-Dominique		+33 1 47 05 79 00		Néobrasserie	Ouvert le dimanche,  Ouvert le lundi,  Kid friendly,  Antidépresseur,  Faim de nuit,  Brunch,  Voir et se faire voir,  Fais-moi mal	Plus de 51 €	La Tour-Maubourg	48.8597648	2.308668500000067
108	Rose Bakery 	Restaurant	Paris	75009	46, rue des Martyrs		+33 1 42 82 12 80		Biocool,  Café / Coffee Shop,  Salon de thé / Pâtisserie,  Végétarien	Ouvert le dimanche,  Ouvert le lundi,  Take-away,  Antidépresseur,  Manger seul 	De 16 à 35 €	Saint-Georges	48.8794614	2.340155399999958
109	Ima Cantine	Restaurant	Paris	75010	39, quai de Valmy		+33 1 40 36 41 37		Café / Coffee Shop,  Méditerranéen,  Snack / Tartes / Salades / Soupes / Bols	Ouvert le dimanche,  Ouvert le lundi,  Take-away,  Antidépresseur,  Brunch,  Terrasse,  Voir et se faire voir,  13 à table,  Manger seul 	De 16 à 35 €	République,  Goncourt	48.8692962	2.366275299999984
110	Biondi	Restaurant	Paris	75011	118, rue Amelot		+33 1 47 00 90 18		Argentin,  Néobistrot,  Viandes / Grillades	Ouvert le lundi,  Antidépresseur,  Terrasse	De 36 à 50 €	Filles du Calvaire,  Oberkampf	48.8638315	2.3671143999999913
111	Le Petit Keller	Restaurant	Paris	75011	13, rue Keller		+33 1 43 55 90 54		Japonais,  Néobistrot	Antidépresseur,  Terrasse,  Manger seul 	De 16 à 35 €	Ledru Rollin	48.8542825	2.376074600000038
112	Jin Xin Lou	Restaurant	Paris	75013	63, rue de l'Amiral Mouchez		+33 1 53 80 27 89		Cuisine d'auteur	Antidépresseur,  Manger seul 	De 16 à 35 €	Corvisart,  Maison Blanche	48.82176399999999	2.342424199999982
113	Le Cette	Restaurant	Paris	75014	7, rue Campagne-Première		+33 1 43 21 05 47		Néobistrot	Ouvert le lundi,  Antidépresseur,  Manger seul 	De 36 à 50 €	Vavin,  Raspail	48.8400354	2.3331826
114	Guilo Guilo	Restaurant	Paris	75018	8, rue Garreau		+33 1 42 54 23 92		Japonais,  Cuisine d'auteur	Fais-moi mal,  Manger seul 	Plus de 51 €	Abbesses	48.8859793	2.3371084999999994
115	Le Garde-Manger	Restaurant	Paris	75017	8, rue Meissonnier		+33 9 67 12 81 88		Casse-croûte,  Cuisine du marché,  Lèche-doigts	Ouvert le lundi,  Take-away,  Antidépresseur,  Terrasse,  Manger seul 	De 16 à 35 €	Wagram	48.8834223	2.30475279999996
116	Nhà-Quê	Restaurant	Paris	75011	20, rue du Général-Guilhem		Pas de téléphone. 		Asiatique,  Vietnamien	Ouvert le lundi,  Antidépresseur,  Manger seul 	De 16 à 35 €	Saint-Maur,  Saint-Ambroise	48.8620075	2.3796095999999807
117	Chameleon Restaurant	Restaurant	Paris	75010	70, rue René-Boulanger 		+33 1 42 08 99 41		Cuisine d'auteur,  Néobistrot	Ouvert le lundi,  Antidépresseur,  Faim de nuit,  Terrasse,  13 à table	De 16 à 35 €	République,  Jacques Bonsergent,  Strasbourg-Saint-Denis	48.86921700000001	2.358015499999965
118	Café Mirabelle	Restaurant	Paris	75011	16, rue La-Vacquerie		+33 1 43 79 27 46		Café / Coffee Shop,  Salon de thé / Pâtisserie	Ouvert le dimanche,  Antidépresseur,  Brunch,  Terrasse,  13 à table,  Manger seul 	De 16 à 35 €	Voltaire,  Philippe Auguste	48.85840719999999	2.384987899999942
119	Faggio Osteria	Restaurant	Paris	75009	75, rue de Rochechouart		+33 1 40 36 06 22		Italien	Ouvert le dimanche,  Ouvert le lundi,  Antidépresseur,  Faim de nuit,  Terrasse	De 36 à 50 €	Anvers	48.881484	2.346326900000008
120	Pilgrim	Restaurant	Paris	75015	8, rue Nicolas Charlet		+ 33 1 40 29 09 71		Cuisine d'auteur,  Néobistrot	Ouvert le lundi,  Antidépresseur,  Fais-moi mal	Plus de 51 €	Falguière,  Pasteur	48.8425052	2.313895099999968
121	Frenchie	Restaurant	Paris	75002	5, rue du Nil		+33 1 40 39 96 19		Cuisine d'auteur,  Néobistrot	Ouvert le lundi,  Antidépresseur,  Fais-moi mal	Plus de 51 €	Bonne Nouvelle,  Sentier,  Réaumur - Sébastopol	48.8677099	2.3479182999999466
122	Le Verre Volé	Restaurant	Paris	75010	67, rue de Lancry		+33 1 48 03 17 34		Bistrot,  Bar à vins / Cave à manger	Ouvert le dimanche,  Ouvert le lundi,  Antidépresseur,  Terrasse	De 16 à 35 €	Jacques Bonsergent,  Gare de l'Est	48.8728371	2.36343260000001
123	Clover Grill 	Restaurant	Paris	75001	6, rue Bailleul		+33 1 40 41 59 59		Néobistrot,  Viandes / Grillades	Ouvert le dimanche,  Ouvert le lundi,  Antidépresseur,  Fais-moi mal	Plus de 51 €	Louvre - Rivoli	48.86101679999999	2.341934100000003
124	Le Salon du Panthéon	Restaurant	Paris	75005	13, rue Victor Cousin		+33 1 56 24 88 80		Salon de thé / Pâtisserie	Ouvert le lundi,  Antidépresseur,  Terrasse,  Voir et se faire voir,  13 à table	De 16 à 35 €	Cluny - La Sorbonne,  Luxembourg	48.8475072	2.3422536
125	Lamée	Restaurant	Paris	75008	20 bis, rue La Boétie		+33 1 84 25 70 90		Sandwichs / Bagels,  Lèche-doigts	Ouvert le lundi,  Take-away,  Kid friendly,  Antidépresseur,  Faim de nuit,  Terrasse,  Voir et se faire voir,  Manger seul 	Moins de 15 €	Miromesnil	48.8741976	2.3164500999999973
126	Sur Mer	Restaurant	Paris	75010	53, rue de Lancry		+33 1 48 03 21 38		Poissons et fruits de mer	Ouvert le dimanche,  Ouvert le lundi,  Antidépresseur,  Terrasse,  Manger seul 	De 16 à 35 €	Jacques Bonsergent	48.8717101	2.362221599999998
127	Fulgurances, en face	Restaurant	Paris	75011	5, rue Alexandre-Dumas		+33 1 45 68 92 52		Planches / Assiettes froides,  Bar à vins / Cave à manger	Ouvert le lundi,  Antidépresseur,  Faim de nuit,  Manger seul 	De 16 à 35 €	Alexandre Dumas,  Charonne	48.8529714	2.389381299999968
128	Goguette	Restaurant	Paris	75011	108, rue Amelot		+33 9 54 74 16 36		Bistrot,  Bar à vins / Cave à manger	Ouvert le lundi,  Antidépresseur,  Terrasse,  13 à table	De 16 à 35 €	Filles du Calvaire	48.8630232	2.367425599999933
129	Café Ineko 	Restaurant	Paris	75003	13, rue des Gravilliers		+33 9 67 87 23 10		Café / Coffee Shop,  Cuisine du marché	Antidépresseur,  Manger seul 	De 16 à 35 €	Arts et Métiers,  Rambuteau	48.8635759	2.3572993000000224
130	La Bécane à Gaston	Restaurant	Paris	75010	24, rue Lucien-Sampaix		+33 9 80 73 22 98		Bistrot,  Cuisine du marché,  Viandes / Grillades	Ouvert le dimanche,  Antidépresseur,  Brunch	De 16 à 35 €	Jacques Bonsergent	48.8724579	2.3611859000000095
131	Raffinati	Restaurant	Paris	75018	74 ter, rue de Clignancourt		+ 33 9 83 54 57 29		Italien,  Lèche-doigts	Ouvert le lundi,  Take-away,  Terrasse,  Manger seul 	De 16 à 35 €	Marcadet-Poissonniers	48.88974409999999	2.3483942000000297
132	Le Jourdain	Restaurant	Paris	75020	101, rue des Couronnes		+33 1 43 66 29 10		Néobistrot	Ouvert le lundi,  Antidépresseur,  Faim de nuit,  Terrasse	De 16 à 35 €	Jourdain,  Pyrénées	48.8722047	2.389227500000061
133	Raviolis Nord-Est Saint-Denis	Restaurant	Paris	75001	115, rue Saint-Denis		+ 33 9 81 17 19 08		Asiatique,  Chinois	Ouvert le lundi,  Take-away,  Faim de nuit,  Manger seul 	Moins de 15 €	Les Halles,  Etienne Marcel	48.8628475	2.349533299999962
134	Le Bon Saint Pourçain	Restaurant	Paris	75006	10 bis, rue Servandoni		+33 1 42 01 78 24 		Bistrot	Terrasse,  Manger seul 	Plus de 51 €	Mabillon,  Odéon,  Saint-Sulpice	48.8500391	2.334594299999935
135	Agrology	Restaurant	Paris	75012	15, rue de Prague		+33 1 58 51 05 49		Bar à vins / Cave à manger	Take-away,  Antidépresseur	De 16 à 35 €	Ledru Rollin	48.84978659999999	2.3757074000000102
136	Boucherie Les Provinces	Restaurant	Paris	75012	20, rue d’Aligre		+33 1 43 43 91 64		Bistrot,  Viandes / Grillades	Ouvert le dimanche,  Antidépresseur,  13 à table	De 16 à 35 €	Faidherbe - Chaligny,  Ledru Rollin	48.8492775	2.3785976000000346
137	Non Solo Cucina	Restaurant	Paris	75016	135, rue du Ranelagh		+33 1 45 27 99 93		Italien	Antidépresseur,  Fais-moi mal	Plus de 51 €	Ranelagh	48.8563507	2.2668482000000267
138	Pizza di Loretta	Restaurant	Paris	75018	122, rue Caulaincourt			+ 33 6 87 87 30 30	Italien,  Pizzas,  Lèche-doigts	Ouvert le dimanche,  Take-away,  Kid friendly,  Terrasse	Moins de 15 €	Lamarck-Caulaincourt,  Jules Joffrin	48.8896263	2.3425825
139	Sando Club	Restaurant	Paris	75011	1-3, passage Thiéré		+ 33 9 82 59 50 33		Café / Coffee Shop,  Sandwichs / Bagels	Ouvert le dimanche,  Ouvert le lundi,  Antidépresseur,  Brunch,  Terrasse,  Manger seul 	De 16 à 35 €	Ledru Rollin,  Bastille	48.8532372	2.3749477999999726
140	Neni	Restaurant	Paris	75010	12, bd de Denain		+33 1 42 80 82 34		Israélien,  Balkanique	Ouvert le dimanche,  Ouvert le lundi,  Manger seul 	De 36 à 50 €	Gare du Nord	48.8795258	2.354939800000011
141	Presqu'Île	Restaurant	Paris	75007	57, rue de Bellechasse			+33 06 02 11 84 73 	Poissons et fruits de mer	Take-away,  Antidépresseur,  Terrasse	De 16 à 35 €	Rue du Bac,  Solférino,  Varenne	48.85507579999999	2.320126899999991
142	Hanoï Corner	Restaurant	Paris	75009	7, rue Blanche			+33 6 19 26 47 95	Asiatique,  Vietnamien,  Café / Coffee Shop,  Lèche-doigts	Ouvert le lundi,  Take-away,  Antidépresseur	Moins de 15 €	Trinité	48.8776569	2.3318355999999767
143	Willette	Restaurant	Paris	75009	21, rue de Trévise		+33 9 83 48 10 87		Bistrot	Antidépresseur,  Terrasse	De 16 à 35 €	Cadet,  Grands Boulevards	48.8739029	2.345223799999985
144	Augustin Marchand d'Vins	Restaurant	Paris	75006	26, rue des Grands-Augustins		+33 9 81 21 76 21		Bar à vins / Cave à manger	Ouvert le dimanche,  Take-away	De 16 à 35 €	Odéon,  Saint-Michel	48.85365969999999	2.340164200000004
145	Yansai 	Restaurant	Paris	75017	47, rue des Moines		+33 1 46 27 73 86		Asiatique,  Coréen	Ouvert le dimanche,  Kid friendly	Moins de 15 €	Brochant	48.8899963	2.3203906999999617
146	Aux Crus de Bourgogne 	Restaurant	Paris	75002	3, rue Bachaumont		+33 1 42 33 48 24		Bistrot	Ouvert le lundi,  Terrasse,  Manger seul 	De 36 à 50 €	Sentier	48.8658229	2.3464375999999447
147	Le Myrobolant	Restaurant	Paris	75011	140, rue Saint-Maur		+33 1 71 28 84 79		Cuisine du marché,  Néobistrot,  Bar à vins / Cave à manger	Kid friendly,  Antidépresseur,  Terrasse,  Manger seul 	De 16 à 35 €	Couronnes,  Goncourt,  Parmentier	48.86856	2.374911099999963
148	Miznon Grands Boulevards	Restaurant	Paris	75009	3, rue de la Grange Batelière		+33 9 71 43 71 96		Méditerranéen,  Lèche-doigts,  Israélien	Ouvert le dimanche,  Ouvert le lundi,  Take-away,  Antidépresseur,  Faim de nuit,  Terrasse,  Manger seul 	Moins de 15 €	Grands Boulevards,  Le Peletier	48.8728797	2.3425697999999784
149	Aglio e Olio	Restaurant	Paris	75011	5, rue Guillaume-Bertrand		+33 1 47 00 70 95		Italien	Terrasse,  Manger seul 	De 36 à 50 €	Rue Saint-Maur	48.8634143	2.379830800000036
150	Mercerie Mullot	Restaurant	Paris	75006	19, rue Bréa		+33 1 43 26 08 06		Cuisine d'auteur,  Néobistrot	Antidépresseur,  Terrasse,  Manger seul 	De 36 à 50 €	Notre-Dame des Champs,  Vavin	48.842922	2.3300279000000046
151	Délices de Qingdao	Restaurant	Paris	75009	3, rue de Budapest		+33 1 48 78 96 19		Chinois	Ouvert le lundi,  Manger seul 	De 16 à 35 €	Saint-Lazare	48.876066	2.327609700000039
152	Pouzenc	Restaurant	Paris	75012	67, rue de Charenton 		+ 33 9 53 52 32 90		Bistrot,  Cuisine du marché	Ouvert le lundi,  Terrasse	De 16 à 35 €	Ledru Rollin,  Bastille	48.8502834	2.3737171999999873
153	Cravan	Restaurant	Paris	75016	17, rue Jean-de-La-Fontaine		Pas de téléphone. 		Café / Coffee Shop,  Lèche-doigts	Ouvert le dimanche,  Ouvert le lundi,  Antidépresseur,  Terrasse,  Manger seul 	De 16 à 35 €	Jasmin,  Ranelagh	48.8516385	2.2738679000000275
154	Pages	Restaurant	Paris	75116	4, rue Auguste-Vacquerie		+33 1 47 20 74 94		Cuisine d'auteur	Fais-moi mal	Plus de 51 €	Kléber,  George V	48.8709292	2.2961456000000453
155	Bioburger	Restaurant	Paris	75002	45, rue des Petits Carreaux		01 42 86 15 09		Biocool,  Burgers	Ouvert le dimanche,  Ouvert le lundi,  Take-away,  Kid friendly,  Terrasse,  Manger seul 	Moins de 15 €	Bonne Nouvelle,  Sentier	48.8682289	2.347356399999967
156	Solstice	Restaurant	Paris	75005	45, rue Claude Bernard		+33 6 07 12 08 81		Cuisine d'auteur,  Néobistrot	Fais-moi mal	Plus de 51 €	Censier - Daubenton	48.84023879999999	2.3457714999999553
157	Desi Road 	Restaurant	Paris	75006	14, rue Dauphine		+33 1 43 26 44 91		Indien / Pakistanais / Sri-lankais	Ouvert le dimanche,  Ouvert le lundi,  Antidépresseur,  Manger seul 	De 36 à 50 €	Pont Neuf	48.8556872	2.339901999999938
158	Wadja	Restaurant	Paris	75006	10, rue de la Grande-Chaumière		+33 1 46 33 02 02		Néobistrot	Ouvert le lundi,  Antidépresseur,  Faim de nuit,  Manger seul 	De 36 à 50 €	Vavin	48.8423412	2.330701099999942
159	Les Tourteaux 	Restaurant	Paris	75008	86, rue la Boétie		+33 1 45 61 02 02		Tapas,  Poissons et fruits de mer	Manger seul 	De 16 à 35 €	Saint-Philippe-du-Roule	48.8725321	2.3095619000000625
160	Le Sot l'y Laisse	Restaurant	Paris	75011	70, rue Alexandre-Dumas		+33 1 40 09 79 20		Bistrot,  Cuisine d'auteur,  Cuisine du marché	Ouvert le lundi,  Antidépresseur	De 36 à 50 €	Alexandre Dumas,  Avron	48.8541035	2.395441900000037
161	La Cantine du Troquet Daguerre	Restaurant	Paris	75014	89, rue Daguerre		+33 1 43 20 20 09		Bistrot,  Basque,  Terroir	Ouvert le lundi,  Kid friendly,  Antidépresseur,  Terrasse,  Manger seul 	De 36 à 50 €	Gaîté,  Pernéty	48.8358289	2.3241563
162	Kokoya	Restaurant	Paris	75017	5, rue des Batignolles		+33 1 44 90 98 12		Asiatique,  Japonais	Ouvert le lundi,  Take-away,  Antidépresseur,  Manger seul 	De 16 à 35 €	Place de Clichy,  Rome	48.883239	2.323648
163	Coup de Tête	Restaurant	Paris	75019	107, rue de Belleville		+33 1 48 03 31 36		Bistrot,  Cuisine du marché	Kid friendly,  Antidépresseur,  Terrasse,  Manger seul 	De 16 à 35 €	Jourdain,  Pyrénées	48.874683	2.3868109000000004
164	Gangnam	Restaurant	Paris	75020	36, rue de Belleville		Pas de téléphone. 		Coréen,  Viandes / Grillades	Ouvert le dimanche,  Ouvert le lundi,  Take-away,  13 à table,  Manger seul 	De 16 à 35 €	Belleville,  Pyrénées	48.87274009999999	2.380429
165	116 Pages 	Restaurant	Paris	75116	2, rue Auguste-Vacquerie		+33 1 47 20 10 45		Japonais,  Tapas	Ouvert le lundi	De 16 à 35 €	Charles de Gaulle-Etoile,  Kléber,  George V	48.8709919	2.2963744
166	Gaya	Restaurant	Paris	75007	6, rue de Saint-Simon 		+33 1 45 44 73 73		Cuisine d'auteur,  Néobistrot,  Poissons et fruits de mer	Antidépresseur,  Terrasse,  Fais-moi mal	Plus de 51 €	Rue du Bac,  Solférino	48.8565779	2.323986800000057
167	Les Pères Populaires	Restaurant	Paris	75020	46, rue de Buzenval		+33 1 43 48 49 22		Café / Coffee Shop,  Cuisine du marché,  Bar à vins / Cave à manger	Ouvert le dimanche,  Ouvert le lundi,  Faim de nuit,  Terrasse,  13 à table	Moins de 15 €	Nation,  Avron,  Buzenval	48.8511345	2.4018248
168	Addommè	Restaurant	Paris	75003	26, rue Notre Dame de Nazareth		+33 9 83 27 63 80		Italien,  Pizzas	Take-away,  Terrasse,  Manger seul 	De 16 à 35 €	Temple,  République	48.867298	2.3599176999999827
169	Capitaine	Restaurant	Paris	75004	4, impasse Guéménée		+ 33 1 44 61 11 76		Cuisine d'auteur,  Néobistrot	Antidépresseur,  Terrasse	De 36 à 50 €	Bastille	48.8539878	2.3658242999999857
170	Sausalito	Restaurant	Paris	75009	80, rue de Maubeuge		+33 1 48 74 47 06		Bistrot,  Bar à vins / Cave à manger	Terrasse	De 16 à 35 €	Poissonnière,  Anvers	48.8791629	2.348244300000033
171	Oursin	Restaurant	Paris	75008	60, av. des Champs-Élysées		+33 1 83 65 61 02		Méditerranéen	Ouvert le dimanche,  Ouvert le lundi,  Manger seul 	Plus de 51 €	Franklin-D. Roosevelt,  Saint-Philippe-du-Roule,  George V	48.8704642	2.306304800000021
172	Supu Ramen	Restaurant	Paris	75006	53, quai des Grands Augustins		+33 1 43 25 45 94		Japonais	Ouvert le dimanche,  Ouvert le lundi,  Manger seul 	De 16 à 35 €	Odéon,  Saint-Michel - Notre-Dame	48.8552496	2.3412839999999733
173	Bambino	Restaurant	Paris	75011	25, rue Saint-Sébastien		+33 1 43 55 68 20		Méditerranéen,  Bar à vins / Cave à manger	Ouvert le dimanche,  Ouvert le lundi,  Antidépresseur,  Faim de nuit,  Voir et se faire voir	De 16 à 35 €	Saint-Sébastien-Froissart,  Saint-Ambroise,  Richard Lenoir	48.8613679	2.3698335999999927
174	Mandoobar	Restaurant	Paris	75008	7, rue d'Edimbourg		+33 1 55 06 08 53		Coréen	Take-away,  Antidépresseur,  Manger seul 	De 16 à 35 €	Europe,  Liège	48.8793433	2.3210914000000002
175	Il Brigante	Restaurant	Paris	75018	14, rue du Ruisseau		+33 1 44 92 72 15		Italien,  Pizzas	Ouvert le lundi,  Take-away,  Kid friendly,  Antidépresseur,  Faim de nuit,  Terrasse,  Manger seul 	De 16 à 35 €	Simplon	48.8921354	2.340116099999932
176	Bob’s Bake Shop	Restaurant	Paris	75018	Halle Pajol, 12, esplanade Nathalie-Sarraute		+33 9 84 46 25 26		Café / Coffee Shop,  Snack / Tartes / Salades / Soupes / Bols,  Végétarien,  Sandwichs / Bagels,  Américain	Ouvert le dimanche,  Ouvert le lundi,  Take-away,  Kid friendly,  Antidépresseur,  Brunch,  Terrasse,  Manger seul 	Moins de 15 €	Marx Dormoy	48.8886836	2.3630247999999483
177	La Vierge	Restaurant	Paris	75020	58, rue de la Réunion		+33 1 43 67 51 15		Bistrot,  Cuisine du marché,  Bar à vins / Cave à manger	Ouvert le dimanche,  Ouvert le lundi,  Antidépresseur,  Manger seul 	De 16 à 35 €	Avron,  Buzenval	48.8551624	2.4016291000000365
178	Lolo	Restaurant	Paris	75009	12, rue de Châteaudun				Tapas,  Bar à vins / Cave à manger	Antidépresseur,  Faim de nuit,  Manger seul 	De 16 à 35 €	Cadet,  Notre-Dame de Lorette,  Le Peletier	48.8760122	2.3404517
179	Bistrot Mee	Restaurant	Paris	75001	5, rue d'Argenteuil		+33 1 42 86 11 85			Ouvert le dimanche,  Ouvert le lundi,  Antidépresseur,  Manger seul 	De 16 à 35 €	Palais Royal-Musée du Louvre,  Pyramides	48.86438570000001	2.3338017999999465
180	Jin Saint-Honoré	Restaurant	Paris	75001	6, rue de la Sourdière		+33 1 42 61 60 71		Asiatique,  Japonais,  Sushis	Antidépresseur,  Fais-moi mal	Plus de 51 €	Pyramides,  Tuileries	48.86536779999999	2.331854900000053
181	À l’Epi d’Or	Restaurant	Paris	75001	25, rue Jean-Jacques Rousseau		+33 1 42 36 38 12		Bistrot	Antidépresseur,  Faim de nuit,  Voir et se faire voir,  Manger seul 	De 36 à 50 €	Palais Royal-Musée du Louvre,  Louvre - Rivoli,  Les Halles	48.863343	2.341151
182	Le Mermoz	Restaurant	Paris	75008	16, rue Jean Mermoz		+ 33 1 45 63 65 26		Cuisine d'auteur,  Néobistrot,  Bar à vins / Cave à manger	Ouvert le lundi,  Antidépresseur,  Manger seul 	De 36 à 50 €	Franklin-D. Roosevelt,  Saint-Philippe-du-Roule	48.8707146	2.3116
183	Bagnard Saintonge 	Restaurant	Paris	75003	58, rue de Saintonge		+33 1 55 43 90 47		Casse-croûte,  Cuisine du marché,  Méditerranéen	Ouvert le dimanche,  Take-away,  Antidépresseur,  Manger seul 	De 16 à 35 €	Filles du Calvaire,  Saint-Sébastien-Froissart	48.863197	2.36429720000001
184	PNY Marais	Restaurant	Paris	75003	1, rue Perrée		+33 9 83 78 69 34		Burgers,  Lèche-doigts	Ouvert le dimanche,  Ouvert le lundi,  Take-away,  Kid friendly,  Antidépresseur,  Faim de nuit,  Terrasse,  Manger seul 	De 16 à 35 €	Temple,  Filles du Calvaire	48.8637826	2.3625885000000153
185	L'Avant-Comptoir de la Terre	Restaurant	Paris	75006	3, carrefour de l’Odéon		+33 1 44 27 07 50		Sud-Ouest,  Terroir,  Planches / Assiettes froides,  Bar à vins / Cave à manger	Ouvert le dimanche,  Ouvert le lundi,  Antidépresseur,  13 à table,  Manger seul 	De 16 à 35 €	Odéon	48.8520358	2.3388124000000516
186	Hôtel Amour	Restaurant	Paris	75009	8, rue de Navarin		+33 1 48 78 31 80		Café / Coffee Shop,  Néobistrot,  Néobrasserie	Ouvert le dimanche,  Ouvert le lundi,  Kid friendly,  Faim de nuit,  Brunch,  Terrasse,  Voir et se faire voir	De 16 à 35 €	Pigalle,  Saint-Georges	48.87964299999999	2.339437099999941
187	Le Rigmarole	Restaurant	Paris	75011	10, rue du Grand Prieuré		+33 1 71 24 58 44		Cuisine d'auteur,  Néobistrot	Ouvert le dimanche,  Antidépresseur,  Faim de nuit	De 36 à 50 €	Oberkampf,  Parmentier	48.8652197	2.369255599999974
188	Etsi	Restaurant	Paris	75018	23-25, rue Eugène Carrière		+ 33 1 71 50 00 80		Tapas,  Grec,  Méditerranéen,  Végétarien	Ouvert le dimanche,  Antidépresseur,  Terrasse,  Manger seul 	De 16 à 35 €	Lamarck-Caulaincourt,  Guy Môquet	48.8903736	2.3328923999999915
189	B.O.U.L.O.M.	Restaurant	Paris	75018	181, rue Ordener		+33 1 46 06 64 20		Bistrot	Ouvert le dimanche,  Ouvert le lundi,  Kid friendly,  Antidépresseur,  Brunch,  13 à table	De 36 à 50 €	Lamarck-Caulaincourt,  Jules Joffrin,  Guy Môquet	48.8935876	2.3356451
190	Le Pinceau	Restaurant	Paris	75020	3, rue Denoyez		+33 9 81 08 30 35		Bistrot	Ouvert le dimanche,  Ouvert le lundi,  Antidépresseur,  Manger seul 	De 16 à 35 €	Belleville,  Couronnes	48.8711241	2.3786722
191	La Chope des Artistes 	Restaurant	Paris	75010	48, rue du Faubourg-Saint-Martin		+33 1 42 02 86 76		Bistrot,  Bar à vins / Cave à manger	Ouvert le dimanche,  Antidépresseur,  Terrasse	De 16 à 35 €	Jacques Bonsergent,  Château d'Eau,  Strasbourg-Saint-Denis	48.8706799	2.3567059
192	Haikara	Restaurant	Paris	75011	 82, rue de la Folie-Méricourt				Japonais	Antidépresseur,  Terrasse	De 16 à 35 €	République,  Oberkampf,  Parmentier	48.8663807	2.3701875
193	Gros Bao 	Restaurant	Paris	75010	72, quai de Jemmapes				Asiatique	Ouvert le dimanche,  Antidépresseur	De 16 à 35 €	République,  Jacques Bonsergent,  Goncourt	48.8714683	2.3657338
194	Bistrot Flaubert 	Restaurant	Paris	75017	10, rue Gustave-Flaubert		+33 1 42 67 05 81		Bistrot	Antidépresseur,  Terrasse,  Manger seul 	De 36 à 50 €	Ternes,  Pereire,  Courcelles	48.8814451	2.2987414
195	Robert 	Restaurant	Paris	75011	32, rue de la Fontaine-au-Roi		+33 1 43 57 20 29		Cuisine d'auteur,  Néobistrot	Antidépresseur	De 16 à 35 €	Goncourt,  Parmentier	48.8681354	2.3716508
196	Coyo Taco	Restaurant	Paris	75002	128, rue Réaumur				Mexicain,  Lèche-doigts	Ouvert le dimanche,  Ouvert le lundi,  Kid friendly,  Antidépresseur,  Faim de nuit,  Manger seul 	De 16 à 35 €	Bourse,  Grands Boulevards,  Sentier	48.86837149999999	2.3432602
197	Le Grand Bain	Restaurant	Paris	75020	14, rue Dénoyez		+33 9 83 02 72 02		Cuisine du marché,  Néobistrot,  Bar à vins / Cave à manger	Ouvert le dimanche,  Antidépresseur,  Faim de nuit,  Terrasse	De 36 à 50 €	Belleville	48.8716512	2.3785662999999886
198	Otium	Restaurant	Paris	75009	56, rue de la Rochefoucauld		+33 1 72 38 86 81		Biocool,  Snack / Tartes / Salades / Soupes / Bols,  Végétarien	Take-away,  Manger seul 	De 16 à 35 €	Pigalle,  Saint-Georges	48.88019389999999	2.336201699999947
199	Toraya	Restaurant	Paris	75001	10, rue Saint-Florentin 		+33 1 42 60 13 00		Asiatique,  Japonais,  Salon de thé / Pâtisserie	Ouvert le lundi,  Take-away,  Manger seul 	De 16 à 35 €	Concorde	48.8676221	2.32456209999998
200	CAM	Restaurant	Paris	75003	55, rue au Maire			+33 6 26 41 10 66	Chinois,  Cuisine d'auteur	Ouvert le dimanche,  Faim de nuit	De 16 à 35 €	Arts et Métiers	48.86488629999999	2.3547722000000704
201	Colorova	Restaurant	Paris	75006	47, rue de l'Abbé Grégoire		+33 1 45 44 67 56		Salon de thé / Pâtisserie	Ouvert le dimanche,  Take-away,  Antidépresseur,  Brunch	De 16 à 35 €	Sèvres - Babylone,  Rennes,  Saint-Placide	48.8469937	2.3260919
202	Quinsou	Restaurant	Paris	75006	33, rue de l’Abbé-Grégoire		+ 33 1 42 22 66 09		Cuisine d'auteur,  Néobistrot	Antidépresseur,  Voir et se faire voir,  Fais-moi mal,  Manger seul 	Plus de 51 €	Saint-Placide	48.84768099999999	2.3256013000000166
203	La Fontaine de Mars	Restaurant	Paris	75007	129, rue Saint-Dominique		+33 1 47 05 46 44 		Bistrot	Ouvert le dimanche,  Ouvert le lundi,  Faim de nuit,  Terrasse,  Fais-moi mal	Plus de 51 €	Ecole Militaire	48.8584043	2.302534899999955
204	Le Petit Pan	Restaurant	Paris	75015	18, rue Rosenwald		+33 1 42 50 04 04		Bar à vins / Cave à manger	Kid friendly,  Antidépresseur,  13 à table,  Manger seul 	De 16 à 35 €	Plaisance,  Convention	48.83321919999999	2.3057304999999815
